method,run_label,cells,accuracy,min,max,mean,std,spread
hybrid,run1,142,0.8732394366197183,0.8661971830985915,0.8732394366197183,0.8708920187793426,0.004065846966124104,0.007042253521126751
hybrid,run2,142,0.8732394366197183,0.8661971830985915,0.8732394366197183,0.8708920187793426,0.004065846966124104,0.007042253521126751
hybrid,run3,142,0.8661971830985915,0.8661971830985915,0.8732394366197183,0.8708920187793426,0.004065846966124104,0.007042253521126751
llm,run1,1225,0.9314285714285714,0.9289795918367347,0.9322448979591836,0.9308843537414967,0.0016993191832376175,0.0032653061224489077
llm,run2,1225,0.9322448979591836,0.9289795918367347,0.9322448979591836,0.9308843537414967,0.0016993191832376175,0.0032653061224489077
llm,run3,1225,0.9289795918367347,0.9289795918367347,0.9322448979591836,0.9308843537414967,0.0016993191832376175,0.0032653061224489077
